Foreign State,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Type
Afghanistan,1654,1668,879,789,947,2432,10644,7867,13704,17671,Total
Albania,3809,3638,3513,2671,2558,2599,3282,4588,4685,4844,Total
Algeria,1048,1089,1056,1190,742,1423,1386,1587,1863,1581,Total
Andorra,0,2,1,0,0,0,0,2,0,0,Total
Angola,44,47,30,52,50,37,42,37,80,64,Total
Anguilla,9,7,9,18,5,12,9,7,10,13,Total
Antigua and Barbuda,212,202,170,166,177,183,158,153,188,187,Total
Argentina,422,385,392,438,503,481,488,624,678,478,Total
Armenia,1218,1503,1573,1611,1414,1775,1997,2414,2402,2670,Total
Aruba,9,8,7,10,18,8,13,7,3,14,Total
Australia,684,602,689,725,664,789,704,934,805,742,Total
Austria,100,115,126,142,96,106,90,127,91,87,Total
Azerbaijan,279,389,370,431,351,374,348,511,439,679,Total
Bahamas,113,86,127,128,117,122,139,169,184,230,Total
Bahrain,26,23,24,41,45,23,20,38,46,28,Total
Bangladesh,9409,15494,13287,15019,13774,10693,12099,14093,17147,12331,Total
Barbados,150,207,157,146,128,175,111,158,148,156,Total
Belarus,976,1031,1031,982,582,1192,1129,1332,998,1189,Total
Belgium,122,118,118,124,131,137,99,142,97,129,Total
Belize,312,269,270,273,303,297,206,286,307,256,Total
Benin,213,238,259,254,135,281,295,281,409,396,Total
Bermuda,40,34,20,21,13,30,37,43,40,29,Total
Bhutan,10,10,21,7,12,18,14,16,32,37,Total
Bolivia,957,826,765,704,635,755,601,758,750,556,Total
Bosnia and Herzegovina,354,423,326,302,270,281,218,377,366,379,Total
Botswana,9,8,13,17,9,8,11,12,20,11,Total
Brazil,1640,1696,1601,1868,1906,1704,1632,2478,3310,3366,Total
British Indian Ocean Territory,,,,0,0,0,0,0,0,0,Total
British Virgin Islands,17,23,22,14,20,14,20,17,10,10,Total
Brunei,3,2,4,3,2,4,5,6,8,2,Total
Bulgaria,1511,1276,1167,1264,1059,1690,1646,1560,1444,1123,Total
Burkina Faso,139,114,154,174,183,320,186,255,273,279,Total
Burma,944,1182,1185,1351,1210,1268,959,1123,1370,1309,Total
Burundi,26,32,58,39,34,61,65,97,106,146,Total
Cambodia,2131,1944,1598,1750,1777,1805,1836,1321,2623,3400,Total
Cameroon,1519,1897,2104,2348,1619,2472,2223,2949,3405,2874,Total
Canada,2312,1872,1935,2194,2211,1943,1462,2165,2190,1778,Total
Cape Verde,1382,1496,1186,1264,1305,1324,840,1058,1723,1882,Total
Cayman Islands,8,10,14,13,23,19,14,8,22,17,Total
Central African Republic,3,5,22,20,8,11,13,12,32,27,Total
Chad,12,16,9,27,25,21,20,39,40,24,Total
Chile,386,,395,339,318,326,239,361,302,288,Total
China - mainland born,30548,23772,30425,35598,40303,32825,36138,39251,42069,35350,Total
China - Taiwan born,3599,3133,2909,2233,2073,1523,1412,1420,1850,1515,Total
Christmas Island,0,1,0,0,0,0,0,0,0,0,Total
Cocos Islands,0,0,0,0,0,0,0,0,0,0,Total
Colombia,7072,358,7050,7925,8417,8143,6607,7551,7748,6848,Total
Comoros,1,2,3,1,2,3,2,0,2,1,Total
"Congo, Dem. Rep. of the",595,33,1103,1834,1741,2779,3032,3233,3506,3301,Total
"Congo, Republic of the",55,760,51,74,42,75,82,92,88,77,Total
Cook Islands,0,0,0,1,0,0,0,1,0,0,Total
Costa Rica,371,353,423,458,475,473,421,636,681,686,Total
Cote d'Ivoire,482,458,392,532,647,740,671,723,991,1029,Total
Croatia,113,127,116,96,92,94,95,105,129,104,Total
Cuba,5408,4067,3365,3067,4713,4917,6098,6298,9131,9453,Total
Curacao,,,,6,15,21,7,7,9,13,Total
Cyprus,27,25,41,27,21,31,27,35,45,27,Total
Czech Republic,197,151,132,138,114,114,133,146,128,103,Total
Denmark,104,87,117,103,65,110,79,106,88,78,Total
Djibouti,26,32,28,37,30,32,49,45,86,55,Total
Dominica,449,452,476,412,329,408,306,232,350,337,Total
Dominican Republic,23364,40824,43615,36145,33545,33012,37099,45065,53339,48254,Total
Ecuador,6899,6103,6383,6317,5261,6728,6307,7049,6682,6360,Total
Egypt,5671,6062,6335,5710,6018,6123,6545,6213,7309,6763,Total
El Salvador,9172,10178,10719,11236,8709,11403,11262,12488,14339,15105,Total
Equatorial Guinea,2,3,7,1,5,1,2,4,3,2,Total
Eritrea,591,800,780,787,736,808,711,687,823,826,Total
Estonia,57,54,65,56,36,52,46,55,47,44,Total
Ethiopia,8181,9223,9739,9249,8302,8317,7242,6259,9913,9216,Total
Falkland Islands,0,0,0,0,0,0,0,0,0,0,Total
Faroe Islands,,,,0,0,0,0,0,0,0,Total
Fiji,792,906,971,674,696,693,617,749,617,608,Total
Finland,68,90,101,94,89,83,80,92,114,84,Total
France,880,642,825,879,676,727,755,913,892,838,Total
French Guiana,3,10,2,0,,,,,,,Total
French Polynesia,5,4,2,9,6,1,2,2,5,2,Total
French Southern and Antarctic Lands,0,0,0,0,0,0,0,0,0,0,Total
Gabon,20,15,24,16,29,19,41,36,41,53,Total
"Gambia, The",172,210,248,284,349,284,325,430,555,587,Total
Georgia,435,622,815,857,671,849,708,1066,965,1101,Total
Germany,2363,2353,2463,2290,2084,2118,1741,1803,1529,1347,Total
Ghana,5723,3780,5013,4921,7192,6649,4346,3601,4947,6220,Total
Gibraltar,1,2,3,1,0,4,2,1,3,1,Total
Great Britain and Northern Ireland,2659,2575,2472,2532,2485,2715,2481,2773,2847,2338,Total
Greece,242,247,236,394,402,561,363,394,470,418,Total
Greenland,0,0,0,1,0,0,0,0,0,0,Total
Grenada,244,218,258,231,236,275,158,244,207,231,Total
Guadeloupe,18,17,3,0,,,,,,,Total
Guatemala,8575,5131,4408,4979,4431,4742,4710,5707,6527,6410,Total
Guinea,209,228,427,454,521,552,578,687,949,853,Total
Guinea-Bissau,9,5,15,16,16,28,15,17,12,22,Total
Guyana,5214,4357,5185,4934,4394,4750,4644,4693,4869,4127,Total
Haiti,14997,14060,15887,15151,16476,15178,10774,13251,18810,16694,Total
Honduras,3467,2656,3544,2830,3999,5094,3637,4765,7330,4946,Total
Hong Kong S.A.R.,2084,1290,1503,1141,1174,1042,992,1030,1359,1128,Total
Hungary,260,304,242,312,241,274,232,296,237,225,Total
Iceland,25,42,54,31,37,36,24,27,26,22,Total
India,25724,26248,28468,24286,24759,25200,25351,30381,31360,27303,Total
Indonesia,569,679,800,709,760,639,464,595,668,561,Total
Iran,6414,6316,8057,7323,8126,8057,7049,7179,7727,6643,Total
Iraq,2515,4166,2949,1610,4853,4335,2181,2010,3660,3720,Total
Ireland,224,215,287,306,259,253,210,253,266,181,Total
Israel,666,536,505,611,552,571,533,515,660,560,Total
Italy,595,613,583,610,688,665,832,944,942,855,Total
Jamaica,9645,11141,10247,11176,11686,11511,10343,11001,15458,13695,Total
Japan,2189,2143,1969,1910,1680,1575,1407,1647,1715,1450,Total
Jordan,3070,3174,2899,3261,3616,3477,3858,3044,4838,4273,Total
Kazakhstan,727,695,606,558,465,556,519,698,504,687,Total
Kenya,2862,3134,3279,2670,1977,2985,2827,2560,2989,3587,Total
Kiribati,5,3,1,1,5,0,2,0,3,1,Total
"Korea, North",25,18,12,4,6,5,1,7,9,3,Total
"Korea, South",5036,5035,4631,5268,4711,4235,3786,3895,5420,4893,Total
Kosovo,38,511,536,562,514,563,437,619,677,756,Total
Kuwait,468,446,396,399,420,393,468,378,535,468,Total
Kyrgyzstan,308,230,270,275,294,274,339,481,312,394,Total
Laos,162,186,225,162,229,188,151,221,297,296,Total
Latvia,94,122,136,182,176,212,183,280,188,149,Total
Lebanon,2411,2049,1959,1920,1734,1734,2008,1710,1916,1806,Total
Lesotho,2,3,15,14,11,7,6,4,8,4,Total
Liberia,1358,1473,1623,2022,2009,2332,2816,2783,2822,2798,Total
Libya,141,155,172,198,134,163,189,272,383,458,Total
Liechtenstein,0,3,0,1,0,0,0,1,0,0,Total
Lithuania,244,281,278,327,277,298,260,307,253,208,Total
Luxembourg,8,8,4,6,5,13,3,4,3,5,Total
Macau,151,64,96,56,67,58,39,42,46,39,Total
Macedonia,709,727,629,684,542,513,526,705,708,645,Total
Madagascar,38,46,36,37,22,46,32,34,52,22,Total
Malawi,37,35,41,42,27,49,20,36,23,28,Total
Malaysia,368,307,348,409,373,331,343,346,503,404,Total
Maldives,2,1,0,1,1,0,0,4,1,1,Total
Mali,91,86,129,133,160,169,123,179,212,213,Total
Malta,7,18,8,6,9,9,5,8,11,11,Total
Marshall Islands,6,25,19,20,16,18,30,21,11,10,Total
Martinique,10,10,0,0,,,,,,,Total
Mauritania,23,32,44,70,96,71,66,106,84,107,Total
Mauritius,23,40,34,36,15,26,24,33,25,23,Total
Mayotte,,,,0,0,0,,,,,Total
Mexico,91475,74769,65621,69532,76406,64498,61520,82476,89234,84045,Total
"Micronesia, Federated States of",0,0,0,1,0,1,0,0,3,0,Total
Moldova,453,436,549,815,860,1125,1421,1867,1543,1625,Total
Monaco,1,0,2,1,0,2,6,4,2,1,Total
Mongolia,283,217,192,313,173,214,200,194,292,226,Total
Montenegro,158,197,166,161,178,174,128,167,226,185,Total
Montserrat,16,13,6,6,7,11,14,10,7,3,Total
Morocco,3417,3594,3481,2814,2230,2479,2433,2830,3514,2780,Total
Mozambique,15,10,24,15,24,11,11,17,15,16,Total
Namibia,7,13,9,13,9,16,7,17,11,23,Total
Nauru,0,0,0,6,0,0,0,1,0,0,Total
Nepal,2538,2251,3076,3277,3295,4931,5086,5711,6444,6326,Total
Netherlands,260,278,241,248,199,184,198,291,244,175,Total
Netherlands Antilles,25,52,24,7,,,,,,,Total
New Caledonia,0,2,0,0,0,4,2,1,1,0,Total
New Zealand,303,243,294,280,233,294,255,307,230,237,Total
Nicaragua,2206,2165,2115,2002,1833,1845,1598,2130,2115,1983,Total
Niger,61,40,36,49,51,56,72,79,107,112,Total
Nigeria,9212,8927,8600,7916,9046,9782,7396,6282,8988,6313,Total
Niue,0,0,0,0,0,0,0,0,0,1,Total
Norfolk Island,,,,0,0,0,0,5,0,0,Total
Northern Ireland (DV only),1,13,10,15,13,11,16,15,6,4,Total
Norway,81,72,106,100,53,85,39,73,81,52,Total
Oman,14,10,17,10,12,19,16,18,28,32,Total
Pakistan,13797,14935,11317,10192,10101,8747,13917,14220,14959,12143,Total
Palau,3,4,6,3,1,3,2,6,0,3,Total
Panama,574,567,478,488,448,408,355,382,361,335,Total
Papua New Guinea,7,14,13,7,4,16,6,4,4,6,Total
Paraguay,122,97,107,160,92,113,88,128,120,111,Total
Peru,5761,5010,5598,5344,5305,5198,4149,5514,5963,4997,Total
Philippines,30792,36048,37394,34702,36390,35745,31658,36650,35274,30410,Total
Pitcairn,0,0,0,0,0,0,0,0,0,0,Total
Poland,2299,2028,2135,1646,1538,2275,1658,1989,1962,1625,Total
Portugal,144,169,153,195,166,174,142,169,185,168,Total
Qatar,39,42,59,50,40,81,60,89,121,86,Total
Reunion,1,1,0,0,,,,,,,Total
Romania,1735,1344,1302,1433,1530,1310,1129,1350,1181,1011,Total
Russia,3587,3507,4105,4608,3880,3931,3582,4157,3694,3689,Total
Rwanda,86,61,124,139,107,202,177,261,298,247,Total
Saint Kitts and Nevis,213,181,205,209,214,169,147,140,146,154,Total
Saint Lucia,303,304,290,287,319,327,302,347,317,392,Total
Saint Martin,,,,0,2,1,0,1,3,3,Total
Saint Vincent and the Grenadines,219,203,224,215,156,192,164,173,206,155,Total
Samoa,35,45,42,30,26,37,37,54,48,34,Total
San Marino,0,0,0,0,0,0,1,0,0,0,Total
Sao Tome and Principe,6,4,4,4,7,3,3,3,8,7,Total
Saudi Arabia,405,540,476,507,476,484,578,601,838,721,Total
Senegal,475,605,570,649,739,601,585,655,830,904,Total
Serbia,965,503,463,423,369,465,408,526,523,583,Total
Seychelles,6,7,4,7,2,3,0,4,11,3,Total
Sierra Leone,905,1032,1008,1090,974,1369,1056,1079,1180,1525,Total
