Country,TypeOf
Afghanistan,Muslim-Majority
Albania,Muslim-Majority
Algeria,Muslim-Majority
Azerbaijan,Muslim-Majority
Bahrain,Muslim-Majority
Bangladesh,Muslim-Majority
Brunei,Muslim-Majority
Burkina Faso,Muslim-Majority
Chad,Muslim-Majority
Comoros,Muslim-Majority
Djibouti,Muslim-Majority
Egypt,Muslim-Majority
Guinea,Muslim-Majority
Indonesia,Muslim-Majority
Iran,Muslim-Majority
Iraq,Muslim-Majority
Jordan,Muslim-Majority
Kazakhstan,Muslim-Majority
Kosovo,Muslim-Majority
Kuwait,Muslim-Majority
Kyrgyzstan,Muslim-Majority
Lebanon,Muslim-Majority
Libya,Muslim-Majority
Malaysia,Muslim-Majority
Maldives,Muslim-Majority
Mali,Muslim-Majority
Mauritania,Muslim-Majority
Morocco,Muslim-Majority
Niger,Muslim-Majority
Nigeria,Muslim-Majority
Oman,Muslim-Majority
Pakistan,Muslim-Majority
Palestine,Muslim-Majority
Qatar,Muslim-Majority
Saudi Arabia,Muslim-Majority
Senegal,Muslim-Majority
Sierra Leone,Muslim-Majority
Somalia,Muslim-Majority
Sudan,Muslim-Majority
Syria,Muslim-Majority
Tajikistan,Muslim-Majority
The Gambia,Muslim-Majority
Tunisia,Muslim-Majority
Turkey,Muslim-Majority
Turkmenistan,Muslim-Majority
United Arab Emirates,Muslim-Majority
Uzbekistan,Muslim-Majority
Western Sahara,Muslim-Majority
Yemen,Muslim-Majority
Austria,Christian-Majority Europe
Andorra,Christian-Majority Europe
Armenia,Christian-Majority Europe
Belarus,Christian-Majority Europe
Belgium,Christian-Majority Europe
Bosnia and Herzegovina,Christian-Majority Europe
Bulgaria,Christian-Majority Europe
Croatia,Christian-Majority Europe
Cyprus,Christian-Majority Europe
Czech Republic,Christian-Majority Europe
Denmark,Christian-Majority Europe
Estonia,Christian-Majority Europe
Finland,Christian-Majority Europe
France,Christian-Majority Europe
Georgia,Christian-Majority Europe
Germany,Christian-Majority Europe
Greece,Christian-Majority Europe
Hungary,Christian-Majority Europe
Iceland,Christian-Majority Europe
Ireland,Christian-Majority Europe
Italy,Christian-Majority Europe
Latvia,Christian-Majority Europe
Liechtenstein,Christian-Majority Europe
Lithuania,Christian-Majority Europe
Luxembourg,Christian-Majority Europe
Macedonia,Christian-Majority Europe
Malta,Christian-Majority Europe
Moldova,Christian-Majority Europe
Monaco,Christian-Majority Europe
Montenegro,Christian-Majority Europe
Netherlands,Christian-Majority Europe
Norway,Christian-Majority Europe
Poland,Christian-Majority Europe
