Foreign State of Chargeability,,
or Place of Birth,Visa Class,Issuances
Afghanistan,CR1,7
Afghanistan,DV1,1
Afghanistan,DV2,1
Afghanistan,DV3,1
Afghanistan,F11,1
Afghanistan,F21,3
Afghanistan,F22,3
Afghanistan,F24,1
Afghanistan,FX1,4
Afghanistan,FX2,1
Afghanistan,IR1,4
Afghanistan,IR2,7
Afghanistan,IR5,29
Afghanistan,SQ1,176
Afghanistan,SQ2,136
Afghanistan,SQ3,412
Albania,CR1,17
Albania,CR2,1
Albania,DV1,70
Albania,DV2,40
Albania,DV3,37
Albania,F11,3
Albania,F21,15
Albania,F22,7
Albania,F24,1
Albania,F31,5
Albania,F32,5
Albania,F33,6
Albania,F41,6
Albania,F42,4
Albania,F43,4
Albania,IR1,5
Albania,IR5,69
Algeria,CR1,18
Algeria,DV1,56
Algeria,DV2,13
Algeria,DV3,11
Algeria,E14,1
Algeria,E31,1
Algeria,F11,3
Algeria,F21,15
Algeria,F41,1
Algeria,FX1,6
Algeria,FX2,2
Algeria,FX3,3
Algeria,IR1,17
Algeria,IR2,4
Algeria,IR5,13
Angola,F24,1
Angola,FX1,1
Angola,IR5,1
Antigua and Barbuda,E31,1
Antigua and Barbuda,E34,1
Antigua and Barbuda,E35,2
Antigua and Barbuda,F11,1
Antigua and Barbuda,F12,3
Antigua and Barbuda,F31,2
Antigua and Barbuda,F32,2
Antigua and Barbuda,F41,1
Antigua and Barbuda,F43,1
Antigua and Barbuda,FX2,3
Antigua and Barbuda,IR1,1
Antigua and Barbuda,IR2,1
Antigua and Barbuda,IR5,2
Argentina,DV1,1
Argentina,DV2,1
Argentina,DV3,1
Argentina,E11,4
Argentina,E14,1
Argentina,E15,3
Argentina,E21,1
Argentina,E23,1
Argentina,F11,1
Argentina,F21,1
Argentina,F23,1
Argentina,F43,3
Argentina,FX1,1
Argentina,FX2,1
Argentina,IR1,9
Argentina,IR2,7
Argentina,IR5,8
Argentina,SB1,1
Armenia,CR1,16
Armenia,DV1,35
Armenia,DV2,22
Armenia,DV3,26
Armenia,E11,1
Armenia,E14,1
Armenia,E15,1
Armenia,F11,3
Armenia,F21,3
Armenia,F22,3
Armenia,F24,2
Armenia,F32,1
Armenia,F33,2
Armenia,F41,3
Armenia,F42,2
Armenia,F43,2
Armenia,FX1,3
Armenia,IH3,4
Armenia,IR1,4
Armenia,IR2,5
Armenia,IR5,37
Australia,CR1,5
Australia,CR2,1
Australia,DV1,19
Australia,DV2,2
Australia,DV3,5
Australia,E11,4
Australia,E35,1
Australia,F12,1
Australia,F21,1
Australia,FX2,1
Australia,IR1,8
Australia,SB1,2
Austria,CR1,2
Austria,E22,1
Austria,F33,1
Austria,F43,1
Austria,IR1,2
Azerbaijan,CR1,1
Azerbaijan,DV1,10
Azerbaijan,DV2,2
Azerbaijan,DV3,4
Azerbaijan,F11,1
Azerbaijan,F12,1
Azerbaijan,F24,1
Azerbaijan,F41,1
Azerbaijan,IR5,8
"Bahamas, The",CR1,1
"Bahamas, The",DV1,1
"Bahamas, The",E31,2
"Bahamas, The",E34,2
"Bahamas, The",E35,3
"Bahamas, The",F11,2
"Bahamas, The",F33,1
