Place of Birth,Visa Class,Issuances
Afghanistan,CR1,1
Afghanistan,DV1,1
Afghanistan,DV2,1
Afghanistan,DV3,4
Afghanistan,F21,10
Afghanistan,F22,2
Afghanistan,F23,4
Afghanistan,F25,1
Afghanistan,F31,1
Afghanistan,F32,1
Afghanistan,FX1,4
Afghanistan,FX2,5
Afghanistan,I51,1
Afghanistan,I52,1
Afghanistan,I53,3
Afghanistan,IR1,4
Afghanistan,IR2,1
Afghanistan,IR5,12
Afghanistan,SB1,1
Afghanistan,SI1,4
Afghanistan,SI2,4
Afghanistan,SI3,10
Afghanistan,SQ1,134
Afghanistan,SQ2,119
Afghanistan,SQ3,340
Albania,CR1,18
Albania,DV1,129
Albania,DV2,76
Albania,DV3,70
Albania,F11,6
Albania,F21,8
Albania,F22,4
Albania,F24,4
Albania,F31,9
Albania,F32,8
Albania,F33,12
Albania,F41,17
Albania,F42,16
Albania,F43,17
Albania,FX1,9
Albania,FX2,1
Albania,IR1,9
Albania,IR2,1
Albania,IR5,77
Albania,SE1,1
Albania,SE2,1
Albania,SE3,2
Algeria,CR1,12
Algeria,DV1,64
Algeria,DV2,26
Algeria,DV3,21
Algeria,E11,1
Algeria,E15,1
Algeria,F21,5
Algeria,F22,2
Algeria,F41,2
Algeria,IR1,10
Algeria,IR2,1
Algeria,IR5,10
Angola,IR2,1
Angola,IR5,1
Antigua and Barbuda,E31,1
Antigua and Barbuda,F11,1
Antigua and Barbuda,F12,2
Antigua and Barbuda,F31,1
Antigua and Barbuda,F41,1
Antigua and Barbuda,F42,1
Antigua and Barbuda,IR1,1
Antigua and Barbuda,IR2,3
Antigua and Barbuda,IR5,4
Argentina,CR1,6
Argentina,CR2,1
Argentina,E21,2
Argentina,E22,1
Argentina,F11,1
Argentina,F12,1
Argentina,F21,3
Argentina,F24,1
Argentina,F41,1
Argentina,FX1,1
Argentina,FX2,1
Argentina,FX3,1
Argentina,IR1,3
Argentina,IR2,6
Argentina,IR5,11
Argentina,SE1,1
Argentina,SE2,1
Argentina,SE3,3
Armenia,CR1,14
Armenia,CR2,5
Armenia,DV1,51
Armenia,DV2,39
Armenia,DV3,63
Armenia,E11,2
Armenia,E14,3
Armenia,E15,2
Armenia,E31,1
Armenia,E34,1
Armenia,E35,2
Armenia,F11,7
Armenia,F12,3
Armenia,F21,4
Armenia,F22,2
Armenia,F24,2
Armenia,F25,1
Armenia,F31,1
Armenia,F32,1
Armenia,F33,5
Armenia,F41,2
Armenia,F42,1
Armenia,FX1,4
Armenia,IR1,4
Armenia,IR2,5
Armenia,IR5,43
Aruba,IR1,1
Australia,CR1,5
Australia,DV1,24
Australia,DV2,6
Australia,DV3,3
Australia,E11,8
Australia,E14,4
Australia,E15,2
Australia,E23,2
Australia,E31,1
Australia,E34,1
Australia,F41,1
Australia,F43,2
Australia,FX1,1
Australia,FX3,1
Australia,IR1,13
Australia,IR2,3
Australia,IR5,1
Austria,F22,2
Austria,F41,1
Austria,IR1,1
Austria,IR2,1
Austria,IR5,2
Azerbaijan,CR1,2
Azerbaijan,DV1,19
Azerbaijan,DV2,13
Azerbaijan,DV3,16
Azerbaijan,E11,2
Azerbaijan,E15,1
Azerbaijan,F24,1
Azerbaijan,F31,1
Azerbaijan,F32,1
Azerbaijan,F33,2
Azerbaijan,F41,3
Azerbaijan,FX1,1
Azerbaijan,FX2,1
Azerbaijan,FX3,2
Azerbaijan,IR1,1
Azerbaijan,IR5,6
"Bahamas, The",CR1,1
"Bahamas, The",E31,1
"Bahamas, The",F11,1
"Bahamas, The",F22,1
"Bahamas, The",FX2,3
"Bahamas, The",FX3,2
"Bahamas, The",IR5,7
Bahrain,CR1,2
Bahrain,E11,1
Bahrain,F43,2
Bangladesh,CR1,76
Bangladesh,CR2,2
Bangladesh,E11,2
Bangladesh,E14,2
Bangladesh,E15,5
Bangladesh,E22,3
Bangladesh,E23,2
Bangladesh,E31,1
Bangladesh,E34,1
Bangladesh,F11,8
Bangladesh,F21,1
Bangladesh,F24,38
Bangladesh,F41,126
Bangladesh,F42,121
Bangladesh,F43,240
Bangladesh,FX1,27
Bangladesh,FX2,9
Bangladesh,FX3,13
Bangladesh,IR1,72
Bangladesh,IR2,27
Bangladesh,IR4,1
Bangladesh,IR5,335
Barbados,CR1,1
Barbados,E31,2
Barbados,E34,1
Barbados,F11,3
Barbados,F12,3
Barbados,F31,1
Barbados,F32,1
Barbados,F33,2
Barbados,IR1,1
Barbados,IR2,2
Barbados,IR5,3
Belarus,CR1,1
