Foreign State,Immediate Relatives,Special Immigrants,Family Preference,Employment Preference,Diversity Immigrants,Total
Africa,,,,,,
Algeria,200,0,23,4,821,"1,048"
Angola,12,0,25,3,4,44
Benin,20,0,2,15,176,213
Botswana,2,0,0,0,7,9
Burkina Faso,15,0,0,13,111,139
Burundi,14,0,3,0,9,26
Cameroon,260,3,80,12,"1,164","1,519"
Cape Verde,514,3,860,5,0,"1,382"
Central African Republic,3,0,0,0,0,3
Chad,6,0,0,0,6,12
Comoros,0,0,0,0,1,1
"Congo, Republic of the",6,0,3,3,43,55
"Congo, Dem. Rep. of the",74,0,14,5,502,595
Cote d'Ivoire,230,0,50,11,191,482
Djibouti,8,0,3,0,15,26
Egypt,"1,551",19,717,105,"3,279","5,671"
Equatorial Guinea,1,0,0,0,1,2
Eritrea,234,0,40,16,301,591
Ethiopia,"4,015",1,570,53,"3,542","8,181"
Gabon,6,0,0,0,14,20
"Gambia, The",132,0,26,8,6,172
Ghana,"3,192",10,632,67,"1,822","5,723"
Guinea,89,0,9,4,107,209
Guinea-Bissau,8,0,1,0,0,9
Kenya,530,0,172,37,"2,123","2,862"
Lesotho,2,0,0,0,0,2
Liberia,652,0,130,9,567,"1,358"
Libya,96,3,21,1,20,141
Madagascar,6,0,6,15,11,38
Malawi,13,1,5,2,16,37
Mali,42,0,6,21,22,91
Mauritania,15,0,5,0,3,23
Mauritius,5,0,0,0,18,23
Morocco,"1,055",3,198,46,"2,115","3,417"
Mozambique,5,0,10,0,0,15
Namibia,6,0,0,1,0,7
Niger,19,0,0,3,39,61
Nigeria,"4,333",1,"1,304",181,"3,393","9,212"
Rwanda,37,1,3,2,43,86
Sao Tome and Principe,6,0,0,0,0,6
Senegal,303,1,49,28,94,475
Seychelles,1,0,5,0,0,6
Sierra Leone,400,0,66,9,430,905
Somalia,404,4,54,8,40,510
South Africa,303,3,61,24,210,601
Sudan,377,2,42,3,495,919
Swaziland,4,0,1,0,0,5
Tanzania,86,0,104,3,63,256
Togo,125,1,42,19,464,651
Tunisia,68,1,20,5,37,131
Uganda,173,1,101,18,141,434
Zambia,65,2,19,2,55,143
Zimbabwe,69,1,23,9,44,146
Region Total For Africa,"19,792",61,"5,505",770,"22,565","48,693"
Asia,,,,,,
Afghanistan,479,817,314,12,32,"1,654"
Bahrain,12,0,12,2,0,26
Bangladesh,"3,328",4,"3,609",200,"2,268","9,409"
Bhutan,3,0,0,0,7,10
Brunei,0,0,2,0,1,3
Burma,347,0,473,13,111,944
Cambodia,"1,627",0,404,8,92,"2,131"
China - mainland born,"14,618",44,"14,635","1,251",0,"30,548"
China - Taiwan born,845,7,"2,346",159,242,"3,599"
Hong Kong S.A.R,230,4,"1,760",46,44,"2,084"
India,"10,524",101,"14,162",937,0,"25,724"
Indonesia,296,1,117,27,128,569
Iran,"2,571",9,"2,767",240,827,"6,414"
Iraq,709,969,742,9,86,"2,515"
Israel,436,8,98,86,38,666
Japan,"1,481",9,90,350,259,"2,189"
Jordan,"1,600",2,"1,414",30,24,"3,070"
"Korea, North",18,0,4,3,0,25
"Korea, South","2,445",20,"1,230","1,341",0,"5,036"
Kuwait,173,5,262,6,22,468
Laos,68,0,90,4,0,162
Lebanon,"1,037",9,"1,194",96,75,"2,411"
Malaysia,176,1,103,53,35,368
Maldives,1,0,0,1,0,2
Mongolia,79,0,3,6,195,283
Nepal,279,1,72,146,"2,040","2,538"
Oman,9,0,0,0,5,14
Pakistan,"5,564",40,"7,595",598,0,"13,797"
Philippines,"15,253",148,"12,783","2,608",0,"30,792"
Qatar,23,0,14,1,1,39
Saudi Arabia,253,1,121,9,21,405
Singapore,87,0,49,12,18,166
Sri Lanka,197,0,171,91,445,904
Syria,525,11,620,66,38,"1,260"
Thailand,838,3,242,65,37,"1,185"
Timor-Leste,1,0,0,0,0,1
United Arab Emirates,87,1,129,7,3,227
Vietnam,"7,728",9,"15,714",31,0,"23,559"
Yemen,"1,008",1,220,19,22,"1,270"
Region Total For Asia,"74,955","2,225","83,561","8,533","7,116","176,467"
Europe,,,,,,
Albania,"1,628",5,118,9,"2,049","3,809"
Andorra,0,0,0,0,0,0
Armenia,277,1,112,15,813,"1,218"
Austria,57,0,9,9,25,100
Azerbaijan,95,1,19,4,160,279
Belarus,158,1,50,14,753,976
Belgium,67,0,9,15,31,122
Bosnia and Herzegovina,310,0,11,6,27,354
Bulgaria,385,10,52,13,"1,051","1,511"
Croatia,82,1,13,2,15,113
Cyprus,11,0,9,2,5,27
Czech Republic,94,0,15,15,73,197
Denmark,60,0,4,23,17,104
Greenland,0,0,0,0,0,0
Estonia,35,0,2,2,18,57
Finland,49,0,1,10,8,68
France,430,3,92,93,262,880
French Guiana,1,0,2,0,0,3
French Polynesia,5,0,0,0,0,5
French Southern and Antarctic,,,,,,
Lands,0,0,0,0,0,0
Guadeloupe,8,0,8,0,2,18
Martinique,6,0,0,1,3,10
New Caledonia,0,0,0,0,0,0
Reunion,1,0,0,0,0,1
St. Pierre and Miquelon,0,0,0,0,0,0
Wallis and Futuna,0,0,0,0,0,0
Georgia,150,1,3,11,270,435
Germany,"1,320",9,164,118,752,"2,363"
Great Britain and Northern Ireland,"1,644",9,593,413,0,"2,659"
Anguilla,5,0,4,0,0,9
Bermuda,32,0,7,1,0,40
British Virgin Islands,6,0,11,0,0,17
Cayman Islands,5,1,2,0,0,8
Falkland Islands,0,0,0,0,0,0
Gibraltar,1,0,0,0,0,1
Montserrat,3,0,13,0,0,16
Pitcairn,0,0,0,0,0,0
St. Helena,0,0,1,0,0,1
Turks and Caicos Islands,6,0,2,0,0,8
Greece,122,1,33,11,75,242
Hungary,151,1,18,16,74,260
Iceland,14,0,1,6,4,25
Ireland,151,4,10,15,44,224
Italy,351,8,75,58,103,595
Kazakhstan,535,1,19,6,166,727
Kosovo,35,0,1,0,2,38
Kyrgyzstan,167,1,11,0,129,308
Latvia,77,0,1,0,16,94
Liechtenstein,0,0,0,0,0,0
Lithuania,107,1,18,4,114,244
Luxembourg,4,0,0,1,3,8
Macedonia,344,0,144,8,213,709
Malta,7,0,0,0,0,7
Moldova,160,0,16,7,270,453
Monaco,0,0,0,0,1,1
Montenegro,116,0,34,0,8,158
Netherlands,147,3,23,25,62,260
Aruba,1,0,2,0,6,9
Netherlands Antilles,15,0,10,0,0,25
Northern Ireland (DV only),-,-,-,-,1,1
Norway,56,0,10,6,9,81
Poland,686,17,"1,463",133,0,"2,299"
Portugal,78,0,46,10,10,144
Macau,7,0,134,0,10,151
Romania,662,8,196,54,815,"1,735"
Russia,"3,277",24,205,81,0,"3,587"
San Marino,0,0,0,0,0,0
Serbia,585,0,46,11,323,965
Slovakia,47,0,12,19,62,140
Slovenia,6,0,2,3,4,15
Spain,215,7,20,19,47,308
Western Sahara,0,0,0,0,0,0
Sweden,142,0,28,19,47,236
Switzerland,63,0,12,16,63,154
Tajikistan,27,0,5,2,66,100
Turkey,620,5,95,100,902,"1,722"
Turkmenistan,27,0,3,0,77,107
Ukraine,"1,465",3,290,47,"1,880","3,685"
Uzbekistan,227,2,47,12,"2,243","2,531"
Vatican City,0,0,0,0,0,0
Region Total For Europe,"17,625",128,"4,356","1,465","14,183","37,757"
North America,,,,,,
Antigua and Barbuda,68,0,144,0,0,212
Bahamas,64,0,42,2,5,113
Barbados,77,0,65,6,2,150
Belize,132,0,166,7,7,312
Canada,"1,271",1,634,406,0,"2,312"
Costa Rica,275,0,79,14,3,371
Cuba,"2,551",9,"2,592",0,256,"5,408"
Dominica,188,1,252,6,2,449
Dominican Republic,"14,671",23,"8,649",21,0,"23,364"
El Salvador,"3,647",0,"5,180",345,0,"9,172"
Grenada,126,1,116,1,0,244
Guatemala,"6,446",0,"1,975",138,16,"8,575"
Haiti,"5,972",5,"9,004",16,0,"14,997"
Honduras,"1,994",4,"1,332",123,14,"3,467"
Jamaica,"4,513",1,"5,014",117,0,"9,645"
Mexico,"64,376",0,"26,854",245,0,"91,475"
Nicaragua,"1,368",9,801,14,14,"2,206"
Panama,349,1,215,4,5,574
