Foreign State,Immediate Relatives,Special Immigrants,Family Preference,Employment Preference,Diversity Immigrants,Total
Africa,,,,,,
Algeria,250,3,31,8,797,"1,089"
Angola,18,0,16,1,12,47
Benin,42,0,1,3,192,238
Botswana,8,0,0,0,0,8
Burkina Faso,23,0,1,0,90,114
Burundi,11,0,0,0,21,32
Cameroon,328,3,37,33,"1,496","1,897"
Cape Verde,613,0,858,17,8,"1,496"
Central African Republic,3,0,0,0,2,5
Chad,4,0,0,2,10,16
Comoros,0,0,0,0,2,2
"Congo, Republic of the",123,1,27,13,596,760
"Congo, Dem. Rep. of the",13,0,0,0,20,33
Cote d'Ivoire,211,0,38,3,206,458
Djibouti,19,0,2,0,11,32
Egypt,"1,718",8,593,105,"3,638","6,062"
Equatorial Guinea,3,0,0,0,0,3
Eritrea,323,0,59,36,382,800
Ethiopia,"5,004",4,510,30,"3,675","9,223"
Gabon,12,0,0,0,3,15
"Gambia, The",151,1,17,16,25,210
Ghana,"1,601",3,279,33,"1,864","3,780"
Guinea,126,0,8,8,86,228
Guinea-Bissau,4,0,0,1,0,5
Kenya,665,4,126,38,"2,301","3,134"
Lesotho,3,0,0,0,0,3
Liberia,494,1,152,12,814,"1,473"
Libya,88,0,10,2,55,155
Madagascar,14,0,5,0,27,46
Malawi,23,0,2,0,10,35
Mali,40,0,2,5,39,86
Mauritania,22,0,1,1,8,32
Mauritius,7,0,10,4,19,40
Morocco,"1,308",1,224,70,"1,991","3,594"
Mozambique,8,0,1,0,1,10
Namibia,3,0,0,0,10,13
Niger,9,0,6,8,17,40
Nigeria,"4,467",8,"1,144",68,"3,240","8,927"
Rwanda,30,0,0,0,31,61
Sao Tome and Principe,1,0,3,0,0,4
Senegal,361,1,55,30,158,605
Seychelles,4,0,0,0,3,7
Sierra Leone,411,2,68,8,543,"1,032"
Somalia,519,2,28,0,70,619
South Africa,309,3,56,78,277,723
Sudan,533,0,36,0,585,"1,154"
Swaziland,19,0,0,2,1,22
Tanzania,92,1,48,9,128,278
Togo,249,1,70,5,476,801
Tunisia,110,0,13,4,47,174
Uganda,239,0,61,3,165,468
Zambia,83,0,12,3,28,126
Zimbabwe,111,0,10,15,79,215
Region Total For Africa,"20,830",47,"4,620",674,"24,259","50,430"
Asia,,,,,,
Afghanistan,581,680,343,18,46,"1,668"
Bahrain,9,0,6,4,4,23
Bangladesh,"4,630",2,"7,990",215,"2,657","15,494"
Bhutan,5,0,0,0,5,10
Brunei,0,0,2,0,0,2
Burma,423,2,369,20,368,"1,182"
Cambodia,"1,481",0,332,12,119,"1,944"
China - mainland born,"10,534",27,"10,873","2,338",0,"23,772"
China - Taiwan born,960,3,"1,673",284,213,"3,133"
Hong Kong S.A.R,220,0,"1,023",24,23,"1,290"
India,"13,019",142,"12,443",644,0,"26,248"
Indonesia,364,4,177,33,101,679
Iran,"2,626",17,"2,276",294,"1,103","6,316"
Iraq,800,"2,828",467,23,48,"4,166"
Israel,318,3,95,82,38,536
Japan,"1,504",14,62,369,194,"2,143"
Jordan,"1,869",6,"1,162",47,90,"3,174"
"Korea, North",14,0,1,3,0,18
"Korea, South","2,363",20,"1,059","1,593",0,"5,035"
Kuwait,199,2,225,11,9,446
Laos,101,0,79,5,1,186
Lebanon,997,8,896,67,81,"2,049"
Malaysia,150,1,77,52,27,307
Maldives,1,0,0,0,0,1
Mongolia,91,0,0,7,119,217
Nepal,408,1,166,84,"1,592","2,251"
Oman,8,0,1,0,1,10
Pakistan,"5,914",47,"8,459",515,0,"14,935"
Philippines,"19,100",128,"14,686","2,134",0,"36,048"
Qatar,32,0,4,6,0,42
Saudi Arabia,352,4,136,14,34,540
Singapore,62,2,35,8,12,119
Sri Lanka,233,2,122,57,530,944
Syria,649,5,666,63,53,"1,436"
Thailand,"1,042",3,210,47,43,"1,347"
Timor-Leste,2,0,0,0,1,3
United Arab Emirates,115,6,123,18,11,273
Vietnam,"7,563",11,"12,435",24,0,"20,079"
Yemen,"2,553",1,434,15,49,"3,052"
Region Total For Asia,"81,292","3,969","79,107","9,130","7,572","181,118"
Europe,,,,,,
Albania,"1,434",0,159,24,"2,021","3,638"
Andorra,2,0,0,0,0,2
Armenia,449,2,95,21,936,"1,503"
Austria,61,2,5,4,43,115
Azerbaijan,122,5,46,1,215,389
Belarus,202,2,44,11,772,"1,031"
Belgium,62,1,3,14,38,118
Bosnia and Herzegovina,343,1,22,0,57,423
Bulgaria,463,8,57,20,728,"1,276"
Croatia,78,0,11,5,33,127
Cyprus,9,0,3,5,8,25
Czech Republic,93,1,14,10,33,151
Denmark,58,0,6,18,5,87
Greenland,0,0,0,0,0,0
Estonia,33,1,8,2,10,54
Finland,62,0,1,5,22,90
France,362,6,25,55,194,642
French Guiana,4,0,6,0,0,10
French Polynesia,4,0,0,0,0,4
French Southern and Antarctic,,,,,,
Lands,0,0,0,0,0,0
Guadeloupe,12,0,5,0,0,17
Martinique,3,0,6,0,1,10
New Caledonia,2,0,0,0,0,2
Reunion,0,0,0,0,1,1
St. Pierre and Miquelon,0,0,0,0,0,0
Wallis and Futuna,0,0,0,0,0,0
Georgia,227,1,16,24,354,622
Germany,"1,240",7,136,116,854,"2,353"
Great Britain and Northern Ireland,"1,703",7,362,503,0,"2,575"
Anguilla,1,0,6,0,0,7
Bermuda,29,0,3,2,0,34
British Virgin Islands,4,0,19,0,0,23
Cayman Islands,6,0,4,0,0,10
Falkland Islands,0,0,0,0,0,0
Gibraltar,2,0,0,0,0,2
Montserrat,4,0,9,0,0,13
Pitcairn,0,0,0,0,0,0
St. Helena,0,0,0,0,0,0
Turks and Caicos Islands,4,0,6,0,0,10
Greece,140,2,26,7,72,247
Hungary,148,3,18,16,119,304
Iceland,30,0,2,1,9,42
Ireland,144,1,6,27,37,215
Italy,346,7,66,58,136,613
Kazakhstan,479,0,23,8,185,695
Kosovo,434,0,27,0,50,511
Kyrgyzstan,108,1,0,1,120,230
Latvia,77,0,4,2,39,122
Liechtenstein,3,0,0,0,0,3
Lithuania,141,7,30,8,95,281
Luxembourg,6,0,2,0,0,8
Macedonia,387,0,130,7,203,727
Malta,14,0,0,4,0,18
Moldova,138,1,28,5,264,436
Monaco,0,0,0,0,0,0
Montenegro,143,0,51,0,3,197
Netherlands,150,1,24,17,86,278
Aruba,4,0,0,0,4,8
Netherlands Antilles,21,0,19,0,12,52
Northern Ireland (DV only),0,0,0,0,13,13
Norway,55,0,5,2,10,72
Poland,746,25,"1,135",122,0,"2,028"
Portugal,100,1,39,18,11,169
Macau,13,0,50,0,1,64
Romania,733,10,241,50,310,"1,344"
Russia,"3,158",21,194,134,0,"3,507"
San Marino,0,0,0,0,0,0
Serbia,259,1,43,4,196,503
Slovakia,67,0,10,12,41,130
Slovenia,15,0,0,0,6,21
Spain,229,9,15,35,65,353
Western Sahara,0,0,0,0,0,0
Sweden,127,5,24,21,43,220
Switzerland,93,0,5,14,88,200
Tajikistan,28,0,6,1,73,108
Turkey,578,7,126,198,931,"1,840"
Turkmenistan,29,0,2,4,56,91
Ukraine,"1,690",12,238,47,"1,685","3,672"
Uzbekistan,225,3,45,15,"2,365","2,653"
Vatican City,0,0,0,0,0,0
Region Total For Europe,"18,136",161,"3,711","1,678","13,653","37,339"
North America,,,,,,
Antigua and Barbuda,99,0,102,0,1,202
Bahamas,50,0,36,0,0,86
Barbados,86,1,117,1,2,207
Belize,148,1,115,0,5,269
Canada,"1,036",10,461,365,0,"1,872"
Costa Rica,289,0,52,11,1,353
Cuba,"3,085",15,777,0,190,"4,067"
Dominica,198,0,236,0,18,452
Dominican Republic,"17,294",17,"23,478",35,0,"40,824"
El Salvador,"4,984",2,"4,969",223,0,"10,178"
Grenada,125,0,93,0,0,218
Guatemala,"3,083",1,"1,940",107,0,"5,131"
Haiti,"7,389",11,"6,641",19,0,"14,060"
Honduras,"1,528",4,"1,044",72,8,"2,656"
Jamaica,"6,805",3,"4,251",82,0,"11,141"
Mexico,"42,042",1,"32,351",375,0,"74,769"
Nicaragua,"1,409",4,730,3,19,"2,165"
Panama,387,3,166,5,6,567
Saint Kitts and Nevis,74,0,105,0,2,181
Saint Lucia,152,0,144,4,4,304
Saint Vincent and the Grenadines,107,0,95,0,1,203
Trinidad and Tobago,762,7,707,24,69,"1,569"
Region Total For North America,"91,132",80,"78,610","1,326",326,"171,474"
Oceania,,,,,,
Australia,366,2,35,26,173,602
Christmas Island,1,0,0,0,0,1
Cocos Islands,0,0,0,0,0,0
Fiji,357,2,255,2,290,906
Kiribati,1,0,0,0,2,3
Marshall Islands,25,0,0,0,0,25
