Foreign State of Chargeability,,
or Place of Birth,Visa Class,Issuances
Afghanistan,CR1,3
Afghanistan,DV1,2
Afghanistan,DV2,1
Afghanistan,DV3,1
Afghanistan,F24,1
Afghanistan,F25,1
Afghanistan,F41,1
Afghanistan,F42,1
Afghanistan,F43,7
Afghanistan,FX1,3
Afghanistan,FX2,5
Afghanistan,FX3,1
Afghanistan,IR1,3
Afghanistan,IR2,4
Afghanistan,IR5,8
Afghanistan,SB1,2
Afghanistan,SQ1,133
Afghanistan,SQ2,123
Afghanistan,SQ3,342
Albania,CR1,30
Albania,DV1,103
Albania,DV2,57
Albania,DV3,48
Albania,F11,4
Albania,F12,1
Albania,F21,5
Albania,F22,3
Albania,F24,1
Albania,F31,1
Albania,F32,1
Albania,F41,7
Albania,F42,5
Albania,F43,6
Albania,FX1,3
Albania,IR1,7
Albania,IR2,1
Albania,IR5,85
Algeria,CR1,14
Algeria,DV1,61
Algeria,DV2,19
Algeria,DV3,21
Algeria,F21,12
Algeria,FX1,7
Algeria,IR1,11
Algeria,IR5,9
Algeria,SB1,2
Angola,F11,1
Angola,IR5,1
Anguilla,IR5,1
Antigua and Barbuda,CR1,1
Antigua and Barbuda,F11,3
Antigua and Barbuda,F12,2
Antigua and Barbuda,F41,1
Antigua and Barbuda,IR2,3
Antigua and Barbuda,IR5,2
Argentina,CR1,2
Argentina,CR2,1
Argentina,E31,1
Argentina,E35,1
Argentina,F11,3
Argentina,F12,2
Argentina,F41,1
Argentina,FX1,2
Argentina,FX2,6
Argentina,IR1,5
Argentina,IR2,3
Argentina,IR5,16
Armenia,CR1,16
Armenia,CR2,2
Armenia,DV1,46
Armenia,DV2,32
Armenia,DV3,53
Armenia,E11,1
Armenia,E14,1
Armenia,E31,1
Armenia,E34,1
Armenia,E35,3
Armenia,F11,8
Armenia,F12,5
Armenia,F21,1
Armenia,F22,1
Armenia,F41,3
Armenia,F42,3
Armenia,F43,2
Armenia,FX1,2
Armenia,FX2,1
Armenia,IH3,1
Armenia,IR1,5
Armenia,IR2,1
Armenia,IR5,50
Australia,CR1,10
Australia,DV1,18
Australia,DV2,10
Australia,DV3,8
Australia,E11,1
Australia,E14,1
Australia,E15,3
Australia,F22,1
Australia,F43,4
Australia,FX2,1
Australia,IR1,24
Australia,IR2,2
Australia,IR5,3
Australia,IW1,1
Austria,CR1,3
Austria,DV1,1
Austria,E31,1
Austria,F41,1
Austria,IR1,2
Austria,IR5,2
Austria,SB1,1
Azerbaijan,CR1,1
Azerbaijan,DV1,25
Azerbaijan,DV2,13
Azerbaijan,DV3,17
Azerbaijan,E31,1
Azerbaijan,E34,2
Azerbaijan,EW5,1
Azerbaijan,F11,1
Azerbaijan,F21,2
Azerbaijan,IH3,2
Azerbaijan,IR1,1
Azerbaijan,IR2,1
Azerbaijan,IR5,8
Azerbaijan,SE1,1
"Bahamas, The",CR1,4
"Bahamas, The",CR2,1
"Bahamas, The",E31,1
"Bahamas, The",E34,1
"Bahamas, The",E35,2
"Bahamas, The",F11,1
"Bahamas, The",F12,1
"Bahamas, The",IR1,2
"Bahamas, The",IR2,2
"Bahamas, The",IR3,1
"Bahamas, The",IR5,4
"Bahamas, The",IW1,1
"Bahamas, The",IW2,1
Bahrain,F33,1
Bahrain,IR2,1
Bahrain,IR5,1
Bangladesh,CR1,103
Bangladesh,CR2,1
Bangladesh,F11,8
Bangladesh,F12,1
Bangladesh,F21,2
Bangladesh,F23,2
Bangladesh,F24,3
Bangladesh,F31,1
Bangladesh,F32,1
Bangladesh,F33,2
Bangladesh,F41,150
Bangladesh,F42,125
Bangladesh,F43,250
Bangladesh,FX1,7
Bangladesh,FX2,7
Bangladesh,FX3,1
Bangladesh,IR1,70
Bangladesh,IR2,40
Bangladesh,IR4,1
Bangladesh,IR5,328
Bangladesh,IW1,1
Bangladesh,SB1,3
Barbados,F22,1
Barbados,FX1,1
Barbados,FX3,1
Barbados,IR1,3
Barbados,IR2,2
Barbados,IR5,3
Belarus,CR1,3
Belarus,DV1,23
Belarus,DV2,11
Belarus,DV3,7
Belarus,F11,2
Belarus,F12,1
Belarus,F22,2
Belarus,F31,1
Belarus,F32,1
Belarus,F33,2
Belarus,IR1,3
Belarus,IR5,9
Belgium,CR1,1
Belgium,DV1,2
Belgium,DV2,1
Belgium,E11,1
Belgium,E21,1
Belgium,E31,1
Belgium,IR1,3
Belgium,IR2,3
Belize,CR1,1
Belize,CR2,2
Belize,F11,2
Belize,IR1,1
Belize,IR2,1
Benin,CR1,2
Benin,DV1,12
Benin,DV2,2
Benin,DV3,2
Benin,IR2,6
Benin,IR5,8
Bermuda,IR1,1
Bermuda,IR5,1
Bhutan,CR1,1
Bhutan,IR1,1
Bhutan,IR2,1
Bhutan,IR5,1
Bolivia,CR1,2
Bolivia,DV1,1
Bolivia,E21,1
Bolivia,E23,3
Bolivia,E31,1
Bolivia,E35,1
Bolivia,EW3,1
