Place of Birth,Visa Class,Issuances
Afghanistan,CR1,4
Afghanistan,DV1,1
Afghanistan,F11,2
Afghanistan,F21,3
Afghanistan,F24,2
Afghanistan,F32,1
Afghanistan,F33,3
Afghanistan,FX1,14
Afghanistan,FX2,2
Afghanistan,FX3,5
Afghanistan,IR5,14
Afghanistan,SB1,2
Afghanistan,SI1,1
Afghanistan,SI2,1
Afghanistan,SI3,3
Afghanistan,SQ1,39
Afghanistan,SQ2,41
Afghanistan,SQ3,103
Albania,CR1,11
Albania,DV1,152
Albania,DV2,85
Albania,DV3,76
Albania,E11,1
Albania,E21,1
Albania,E31,1
Albania,E34,1
Albania,F11,10
Albania,F12,3
Albania,F21,12
Albania,F22,2
Albania,F23,1
Albania,F24,4
Albania,F31,5
Albania,F32,5
Albania,F33,9
Albania,F41,14
Albania,F42,11
Albania,F43,16
Albania,FX1,4
Albania,FX2,5
Albania,FX3,3
Albania,IR1,4
Albania,IR5,50
Albania,SE1,1
Albania,SE2,1
Albania,SE3,2
Algeria,CR1,19
Algeria,DV1,67
Algeria,DV2,27
Algeria,DV3,26
Algeria,F21,12
Algeria,F22,1
Algeria,F24,2
Algeria,F41,1
Algeria,FX1,2
Algeria,IR1,5
Algeria,IR2,1
Algeria,IR5,17
Algeria,SE1,1
Algeria,SE2,1
Algeria,SE3,2
Angola,CR1,1
Angola,F11,1
Angola,IR5,1
Antigua and Barbuda,F43,1
Antigua and Barbuda,FX1,1
Antigua and Barbuda,FX2,2
Antigua and Barbuda,IR2,1
Antigua and Barbuda,IR5,2
Argentina,CR1,5
Argentina,CR2,2
Argentina,DV1,1
Argentina,DV2,1
Argentina,DV3,1
Argentina,E12,1
Argentina,E14,1
Argentina,E15,1
Argentina,E22,1
Argentina,E23,2
Argentina,E34,1
Argentina,EW3,1
Argentina,F11,3
Argentina,F12,1
Argentina,F22,1
Argentina,F41,3
Argentina,F42,1
Argentina,F43,2
Argentina,FX1,1
Argentina,FX2,4
Argentina,IR1,9
Argentina,IR2,7
Argentina,IR5,5
Argentina,SB1,1
Armenia,CR1,11
Armenia,CR2,1
Armenia,DV1,69
Armenia,DV2,44
Armenia,DV3,59
Armenia,F11,8
Armenia,F12,8
Armenia,F21,2
Armenia,F22,1
Armenia,F24,2
Armenia,F25,1
Armenia,F31,2
Armenia,F32,2
Armenia,F33,1
Armenia,F41,2
Armenia,F43,1
Armenia,FX1,2
Armenia,FX2,1
Armenia,IH3,1
Armenia,IR1,9
Armenia,IR2,4
Armenia,IR5,46
Armenia,SB1,1
Armenia,SE1,2
Armenia,SE2,2
Armenia,SE3,1
Australia,CR1,13
Australia,CR2,1
Australia,DV1,32
Australia,DV2,8
Australia,DV3,2
Australia,E11,1
Australia,E14,2
Australia,E21,1
Australia,E23,1
Australia,F33,1
Australia,IR1,8
Australia,IR2,1
Austria,CR1,1
Austria,DV1,3
Austria,IR1,1
Austria,IR5,1
Azerbaijan,CR1,1
Azerbaijan,DV1,27
Azerbaijan,DV2,14
Azerbaijan,DV3,18
Azerbaijan,F11,1
Azerbaijan,F24,1
Azerbaijan,F42,1
Azerbaijan,IR1,2
Azerbaijan,IR2,2
Azerbaijan,IR5,11
"Bahamas, The",CR1,1
"Bahamas, The",F24,3
"Bahamas, The",F25,2
"Bahamas, The",F41,1
"Bahamas, The",FX2,5
"Bahamas, The",IR1,1
"Bahamas, The",IR2,6
"Bahamas, The",IR3,1
"Bahamas, The",IR5,4
Bahrain,E22,1
Bahrain,F24,1
Bahrain,IR2,1
Bangladesh,CR1,62
Bangladesh,CR2,1
Bangladesh,E21,1
Bangladesh,E22,1
Bangladesh,E23,1
Bangladesh,E31,1
Bangladesh,E34,1
Bangladesh,E35,2
Bangladesh,F11,4
Bangladesh,F12,1
Bangladesh,F23,1
Bangladesh,F24,11
Bangladesh,F31,3
Bangladesh,F32,4
Bangladesh,F33,6
Bangladesh,F41,97
Bangladesh,F42,88
Bangladesh,F43,167
Bangladesh,FX1,24
Bangladesh,FX2,7
Bangladesh,FX3,17
Bangladesh,IR1,51
Bangladesh,IR2,19
Bangladesh,IR5,225
Barbados,F11,3
Barbados,F12,2
Barbados,F21,1
Barbados,F23,1
Barbados,F41,1
Barbados,IR1,2
Barbados,IR2,2
Barbados,IR5,2
Belarus,CR1,3
Belarus,DV1,51
Belarus,DV2,38
Belarus,DV3,26
Belarus,F11,1
Belarus,F21,1
Belarus,F22,3
Belarus,F24,1
Belarus,F33,1
Belarus,F41,2
Belarus,F42,2
Belarus,F43,2
Belarus,FX1,4
Belarus,FX3,1
Belarus,IR1,4
Belarus,IR2,1
Belarus,IR5,9
Belgium,CR1,1
Belgium,E15,1
Belgium,F11,1
Belgium,F43,1
Belgium,FX1,2
Belgium,IR1,3
Belgium,IR5,4
Belize,CR1,2
Belize,F11,2
Belize,F12,1
Belize,F24,1
Belize,F41,1
Belize,FX1,1
Belize,FX2,4
Belize,FX3,3
Belize,IR1,1
Belize,IR2,3
Belize,IR5,3
Benin,CR1,2
Benin,DV1,12
Benin,F21,3
Benin,F23,3
Benin,FX1,3
Benin,FX2,3
Benin,IR1,3
Benin,IR2,2
Benin,IR5,3
Bermuda,IR5,1
Bhutan,CR1,1
Bhutan,IR5,2
Bolivia,CR1,3
Bolivia,DV1,1
Bolivia,DV2,1
Bolivia,DV3,2
Bolivia,EW3,2
Bolivia,EW5,1
Bolivia,F11,5
Bolivia,F12,3
Bolivia,F22,2
Bolivia,F41,2
Bolivia,FX1,2
Bolivia,FX2,2
Bolivia,FX3,2
Bolivia,IR1,15
Bolivia,IR2,6
Bolivia,IR5,16
Bosnia and Herzegovina,DV1,4
Bosnia and Herzegovina,DV2,4
Bosnia and Herzegovina,F21,2
Bosnia and Herzegovina,F22,2
Bosnia and Herzegovina,F31,2
Bosnia and Herzegovina,F32,2
Bosnia and Herzegovina,F33,2
Bosnia and Herzegovina,F41,1
Bosnia and Herzegovina,F42,1
Bosnia and Herzegovina,F43,2
Bosnia and Herzegovina,FX1,1
Bosnia and Herzegovina,IR1,1
Bosnia and Herzegovina,IR2,3
Bosnia and Herzegovina,IR5,6
Botswana,FX1,1
Brazil,CR1,35
Brazil,CR2,7
Brazil,E11,3
Brazil,E14,3
Brazil,E15,5
Brazil,E31,2
Brazil,E34,1
Brazil,E35,1
Brazil,EW3,1
Brazil,EW4,1
Brazil,EW5,4
Brazil,F11,7
Brazil,F21,4
Brazil,F22,3
Brazil,F24,2
Brazil,F31,6
Brazil,F32,6
Brazil,F33,8
Brazil,F41,6
Brazil,F42,4
Brazil,F43,5
Brazil,FX1,4
Brazil,FX2,5
Brazil,FX3,1
Brazil,I51,3
Brazil,I52,3
Brazil,I53,8
Brazil,IB3,1
Brazil,IH3,2
Brazil,IR1,123
Brazil,IR2,38
Brazil,IR5,85
Brazil,SB1,2
British Virgin Islands,IR2,1
Brunei,E21,1
Brunei,E22,1
Brunei,E23,1
Bulgaria,CR1,3
Bulgaria,DV1,21
Bulgaria,DV2,15
Bulgaria,DV3,7
Bulgaria,E14,1
Bulgaria,E21,1
Bulgaria,E32,1
Bulgaria,F11,4
Bulgaria,F41,5
Bulgaria,F42,2
Bulgaria,F43,6
Bulgaria,FX1,2
Bulgaria,IH3,13
Bulgaria,IR1,3
Bulgaria,IR2,3
Bulgaria,IR5,14
Burkina Faso,DV1,5
Burkina Faso,DV2,2
Burkina Faso,DV3,1
Burkina Faso,IR1,2
Burkina Faso,IR2,11
Burkina Faso,IR5,3
Burma,CR1,16
Burma,F11,5
Burma,F24,6
Burma,F31,4
Burma,F32,4
Burma,F33,7
Burma,F41,10
Burma,F42,9
Burma,F43,8
Burma,FX1,1
Burma,FX2,1
Burma,IR1,5
Burma,IR2,3
Burma,IR5,21
Burundi,CR1,2
Burundi,DV1,5
Burundi,DV2,1
Burundi,DV3,4
Burundi,IR5,1
Cabo Verde,CR1,2
Cabo Verde,CR2,11
Cabo Verde,F11,17
Cabo Verde,F12,14
Cabo Verde,F21,3
Cabo Verde,F22,3
Cabo Verde,F23,6
Cabo Verde,F24,6
Cabo Verde,F25,8
Cabo Verde,F31,1
Cabo Verde,F32,1
Cabo Verde,F33,3
Cabo Verde,F41,1
Cabo Verde,F42,1
Cabo Verde,F43,2
Cabo Verde,FX1,1
Cabo Verde,FX2,6
Cabo Verde,FX3,1
Cabo Verde,IR1,3
Cabo Verde,IR2,20
Cabo Verde,IR5,7
Cabo Verde,SB1,1
Cambodia,CR1,54
Cambodia,CR2,6
Cambodia,DV1,5
Cambodia,DV2,3
Cambodia,DV3,1
Cambodia,F11,5
Cambodia,F12,2
Cambodia,F21,7
Cambodia,F22,3
Cambodia,F23,3
Cambodia,F24,7
Cambodia,F31,2
Cambodia,F32,3
Cambodia,F33,4
Cambodia,F41,8
Cambodia,F42,6
Cambodia,F43,9
Cambodia,FX1,1
Cambodia,FX2,7
Cambodia,IR1,21
Cambodia,IR2,14
Cambodia,IR5,125
Cameroon,CR1,12
Cameroon,DV1,81
Cameroon,DV2,12
Cameroon,DV3,32
Cameroon,F11,3
Cameroon,F12,2
Cameroon,F21,6
Cameroon,F22,5
Cameroon,F23,1
Cameroon,FX1,7
Cameroon,FX2,8
Cameroon,FX3,2
Cameroon,IR1,7
Cameroon,IR2,29
Cameroon,IR5,41
Cameroon,SB1,1
Canada,CR1,19
Canada,CR2,2
Canada,E11,3
Canada,E13,2
Canada,E14,1
Canada,E15,1
Canada,E21,2
Canada,E23,3
Canada,E31,1
Canada,E35,1
Canada,EW3,1
Canada,F12,3
Canada,F21,2
Canada,F24,1
Canada,F25,1
Canada,F31,1
Canada,F41,2
Canada,F43,5
Canada,FX1,2
Canada,FX2,1
Canada,FX3,2
Canada,I51,2
Canada,I53,1
Canada,IR1,35
Canada,IR2,25
Canada,IR5,7
Chile,CR1,6
Chile,CR2,1
Chile,DV1,1
Chile,F11,1
Chile,F24,1
Chile,F41,6
Chile,F43,3
Chile,IR1,4
Chile,IR2,1
Chile,IR5,2
China - mainland born,C51,4
China - mainland born,C52,2
China - mainland born,C53,6
China - mainland born,CR1,139
China - mainland born,CR2,19
China - mainland born,E11,38
China - mainland born,E12,2
China - mainland born,E13,3
China - mainland born,E14,34
China - mainland born,E15,42
China - mainland born,E21,2
China - mainland born,E22,1
China - mainland born,E23,1
China - mainland born,E31,24
China - mainland born,E32,1
China - mainland born,E34,22
China - mainland born,E35,31
China - mainland born,EW3,3
China - mainland born,EW4,4
China - mainland born,EW5,6
China - mainland born,F11,20
China - mainland born,F12,6
China - mainland born,F21,84
China - mainland born,F22,41
China - mainland born,F23,3
China - mainland born,F24,74
China - mainland born,F25,17
China - mainland born,F31,39
China - mainland born,F32,38
China - mainland born,F33,45
China - mainland born,F41,220
China - mainland born,F42,172
China - mainland born,F43,166
China - mainland born,FX1,75
China - mainland born,FX2,40
China - mainland born,FX3,5
China - mainland born,I51,70
China - mainland born,I52,48
China - mainland born,I53,81
China - mainland born,IH3,161
China - mainland born,IR1,144
China - mainland born,IR2,48
China - mainland born,IR5,478
China - mainland born,SB1,4
China - mainland born,SE1,3
China - mainland born,SE2,2
China - mainland born,SE3,2
China - mainland born,T51,1
China - mainland born,T52,2
China - Taiwan born,CR1,7
China - Taiwan born,DV1,5
China - Taiwan born,DV2,4
China - Taiwan born,DV3,3
China - Taiwan born,E14,1
China - Taiwan born,E21,4
China - Taiwan born,E22,4
China - Taiwan born,E23,5
China - Taiwan born,E31,1
China - Taiwan born,F11,7
China - Taiwan born,F12,5
China - Taiwan born,F31,4
China - Taiwan born,F32,4
China - Taiwan born,F33,8
China - Taiwan born,F41,14
China - Taiwan born,F42,12
China - Taiwan born,F43,22
China - Taiwan born,FX1,3
China - Taiwan born,FX3,3
China - Taiwan born,I51,17
China - Taiwan born,I52,8
China - Taiwan born,I53,24
China - Taiwan born,IR1,15
China - Taiwan born,IR2,3
China - Taiwan born,IR3,5
China - Taiwan born,IR5,22
Colombia,CR1,53
Colombia,CR2,14
Colombia,E11,2
Colombia,E14,3
Colombia,E15,2
Colombia,E21,2
Colombia,E22,1
Colombia,E23,1
Colombia,E31,1
Colombia,F11,46
Colombia,F12,27
Colombia,F21,11
Colombia,F22,9
Colombia,F23,1
Colombia,F24,26
Colombia,F25,8
Colombia,F31,5
Colombia,F32,5
Colombia,F33,5
Colombia,F41,22
Colombia,F42,14
Colombia,F43,10
Colombia,FX1,10
Colombia,FX2,6
Colombia,FX3,4
Colombia,I51,1
Colombia,I52,1
Colombia,IB3,2
Colombia,IH3,18
Colombia,IR1,70
Colombia,IR2,52
Colombia,IR5,91
Colombia,SB1,4
Colombia,T51,1
Colombia,T52,1
Comoros,F41,1
"Congo, Democratic Republic of the",CR1,2
"Congo, Democratic Republic of the",DV1,129
"Congo, Democratic Republic of the",DV2,50
"Congo, Democratic Republic of the",DV3,55
"Congo, Democratic Republic of the",F11,1
"Congo, Democratic Republic of the",F12,1
"Congo, Democratic Republic of the",F21,4
"Congo, Democratic Republic of the",F22,5
"Congo, Democratic Republic of the",FX1,6
"Congo, Democratic Republic of the",FX2,14
"Congo, Democratic Republic of the",IR1,3
"Congo, Democratic Republic of the",IR2,9
"Congo, Democratic Republic of the",IR5,26
"Congo, Republic of the",DV1,5
"Congo, Republic of the",DV2,1
"Congo, Republic of the",DV3,2
"Congo, Republic of the",F21,1
"Congo, Republic of the",F22,1
"Congo, Republic of the",FX1,1
"Congo, Republic of the",FX2,2
"Congo, Republic of the",IR1,1
"Congo, Republic of the",IR2,1
Costa Rica,CR1,13
Costa Rica,CR2,3
Costa Rica,F22,4
Costa Rica,F31,1
Costa Rica,FX1,1
Costa Rica,FX2,1
Costa Rica,IR1,19
Costa Rica,IR2,12
Costa Rica,IR5,8
Costa Rica,SB1,1
Cote d'Ivoire,CR1,5
Cote d'Ivoire,DV1,15
Cote d'Ivoire,DV2,6
Cote d'Ivoire,DV3,5
Cote d'Ivoire,F11,2
Cote d'Ivoire,F21,1
Cote d'Ivoire,F22,1
Cote d'Ivoire,F25,1
Cote d'Ivoire,F41,2
Cote d'Ivoire,F42,1
Cote d'Ivoire,F43,2
Cote d'Ivoire,FX1,2
Cote d'Ivoire,FX2,1
Cote d'Ivoire,IR1,2
Cote d'Ivoire,IR2,13
Cote d'Ivoire,IR5,11
Croatia,CR1,2
Croatia,DV1,1
Croatia,F11,1
Croatia,IR1,1
Croatia,IR2,2
Croatia,IR5,4
Cuba,CR1,27
Cuba,CR2,5
Cuba,DV1,13
Cuba,DV2,4
Cuba,DV3,5
Cuba,F11,3
Cuba,F21,47
Cuba,F22,31
Cuba,F23,33
Cuba,F24,3
Cuba,F31,6
Cuba,F32,2
Cuba,F33,2
Cuba,FX1,170
Cuba,FX2,71
Cuba,FX3,117
Cuba,IR1,6
Cuba,IR2,28
Cuba,IR5,206
Curacao,IR2,1
Cyprus,CR2,1
Czech Republic,CR1,4
Czech Republic,DV1,2
Czech Republic,IR1,1
Denmark,CR1,1
Denmark,DV1,1
Denmark,DV2,1
Denmark,E11,1
Denmark,E15,1
Denmark,F32,1
Denmark,IR1,2
Djibouti,CR1,1
Djibouti,DV1,2
Djibouti,DV2,1
Dominica,CR1,3
Dominica,CR2,1
Dominica,F11,1
Dominica,F12,1
Dominica,F24,1
Dominica,F41,1
Dominica,F42,1
Dominica,FX1,1
Dominica,IR1,2
Dominica,IR2,4
Dominica,IR5,1
Dominican Republic,B23,1
Dominican Republic,CR1,241
Dominican Republic,CR2,78
Dominican Republic,EW3,1
Dominican Republic,F11,176
Dominican Republic,F12,206
Dominican Republic,F21,370
Dominican Republic,F22,112
Dominican Republic,F23,238
Dominican Republic,F24,383
Dominican Republic,F25,481
Dominican Republic,F31,28
Dominican Republic,F32,27
Dominican Republic,F33,52
Dominican Republic,F41,65
Dominican Republic,F42,35
Dominican Republic,F43,83
Dominican Republic,FX1,265
Dominican Republic,FX2,123
Dominican Republic,FX3,234
Dominican Republic,IB3,3
Dominican Republic,IH3,1
Dominican Republic,IR1,236
Dominican Republic,IR2,379
Dominican Republic,IR5,361
Dominican Republic,IW1,4
Dominican Republic,IW2,1
Dominican Republic,SB1,5
Dominican Republic,SE1,1
Dominican Republic,SE2,1
Dominican Republic,SE3,3
Ecuador,CR1,39
Ecuador,CR2,14
Ecuador,DV1,13
Ecuador,DV2,8
Ecuador,DV3,13
Ecuador,E11,1
Ecuador,E21,1
Ecuador,E31,1
Ecuador,F11,38
Ecuador,F12,32
Ecuador,F21,29
Ecuador,F22,9
Ecuador,F23,20
Ecuador,F24,30
Ecuador,F25,20
Ecuador,F31,14
Ecuador,F32,13
Ecuador,F33,19
Ecuador,F41,29
Ecuador,F42,14
Ecuador,F43,36
Ecuador,FX1,19
Ecuador,FX2,12
Ecuador,FX3,17
Ecuador,IR1,134
Ecuador,IR2,43
Ecuador,IR5,94
Egypt,CR1,26
Egypt,DV1,104
Egypt,DV2,61
Egypt,DV3,146
Egypt,E11,1
Egypt,E21,2
Egypt,E22,2
Egypt,E23,3
Egypt,F11,5
Egypt,F21,7
Egypt,F22,3
Egypt,F24,4
Egypt,F31,4
Egypt,F32,3
Egypt,F33,5
Egypt,F41,28
Egypt,F42,23
Egypt,F43,37
Egypt,FX1,17
Egypt,FX2,14
Egypt,IR1,19
Egypt,IR2,15
Egypt,IR5,55
Egypt,SB1,2
Egypt,SE1,1
Egypt,SE2,1
