Place of Birth,Visa Class,Issuances
Afghanistan,BC1,2
Afghanistan,BC2,1
Afghanistan,BC3,2
Afghanistan,CR1,22
Afghanistan,DV1,1
Afghanistan,F11,2
Afghanistan,F21,3
Afghanistan,FX1,12
Afghanistan,FX2,1
Afghanistan,FX3,1
Afghanistan,I51,1
Afghanistan,I52,1
Afghanistan,IR1,7
Afghanistan,IR2,5
Afghanistan,IR5,26
Afghanistan,SB1,1
Afghanistan,SI1,27
Afghanistan,SI2,21
Afghanistan,SI3,58
Afghanistan,SQ1,236
Afghanistan,SQ2,208
Afghanistan,SQ3,573
Albania,CR1,14
Albania,CR2,1
Albania,DV1,95
Albania,DV2,44
Albania,DV3,39
Albania,E31,1
Albania,E34,1
Albania,F11,5
Albania,F21,6
Albania,F24,2
Albania,F31,3
Albania,F32,3
Albania,F33,5
Albania,F41,5
Albania,F42,6
Albania,F43,3
Albania,FX1,7
Albania,FX2,4
Albania,IR1,5
Albania,IR5,78
Algeria,CR1,9
Algeria,CR2,1
Algeria,DV1,73
Algeria,DV2,27
Algeria,DV3,24
Algeria,F21,5
Algeria,F22,1
Algeria,FX1,5
Algeria,IR1,5
Algeria,IR2,4
Algeria,IR5,4
Angola,DV1,1
Angola,DV2,1
Angola,DV3,3
Angola,FX2,1
Anguilla,F41,1
Anguilla,F42,1
Anguilla,F43,3
Antigua and Barbuda,F11,3
Antigua and Barbuda,F24,1
Antigua and Barbuda,F25,1
Antigua and Barbuda,F41,1
Antigua and Barbuda,F43,2
Antigua and Barbuda,IR1,1
Antigua and Barbuda,IR2,3
Antigua and Barbuda,IR5,3
Argentina,CR1,1
Argentina,DV1,1
Argentina,DV2,1
Argentina,E21,1
Argentina,E22,1
Argentina,E23,7
Argentina,F11,3
Argentina,F12,2
Argentina,F22,2
Argentina,F24,1
Argentina,F31,1
Argentina,F41,1
Argentina,F43,5
Argentina,FX1,1
Argentina,FX2,2
Argentina,IR1,7
Argentina,IR2,3
Argentina,IR5,6
Armenia,CR1,9
Armenia,CR2,3
Armenia,DV1,35
Armenia,DV2,29
Armenia,DV3,38
Armenia,E31,1
Armenia,E35,1
Armenia,F11,12
Armenia,F12,2
Armenia,F21,2
Armenia,F22,2
Armenia,F24,2
Armenia,F31,4
Armenia,F32,5
Armenia,F33,10
Armenia,F41,2
Armenia,F42,1
Armenia,FX1,4
Armenia,IR1,1
Armenia,IR5,43
Armenia,SB1,4
Australia,CR1,13
Australia,DV1,20
Australia,DV2,3
Australia,DV3,2
Australia,E11,1
Australia,E15,1
Australia,E31,1
Australia,F22,1
Australia,F24,1
Australia,IR1,14
Australia,IR2,1
Australia,IR5,1
Austria,CR1,2
Austria,F21,1
Austria,IR1,1
Austria,SQ3,2
Azerbaijan,CR1,3
Azerbaijan,DV1,9
Azerbaijan,DV2,4
Azerbaijan,DV3,6
Azerbaijan,E34,1
Azerbaijan,F11,1
Azerbaijan,F21,1
Azerbaijan,F23,2
Azerbaijan,F41,1
Azerbaijan,FX1,1
Azerbaijan,IR5,11
"Bahamas, The",E31,2
"Bahamas, The",E34,1
"Bahamas, The",E35,2
"Bahamas, The",F12,2
"Bahamas, The",F41,1
"Bahamas, The",IR1,2
"Bahamas, The",IR2,2
"Bahamas, The",IR5,3
Bangladesh,CR1,85
Bangladesh,CR2,3
Bangladesh,E11,1
Bangladesh,E14,1
Bangladesh,E22,1
Bangladesh,F11,4
Bangladesh,F12,2
Bangladesh,F21,18
Bangladesh,F22,11
Bangladesh,F23,2
Bangladesh,F24,7
Bangladesh,F31,6
Bangladesh,F32,6
Bangladesh,F33,8
Bangladesh,F41,103
Bangladesh,F42,92
Bangladesh,F43,168
Bangladesh,FX1,14
Bangladesh,FX2,21
Bangladesh,FX3,5
Bangladesh,IR1,55
Bangladesh,IR2,34
Bangladesh,IR4,1
Bangladesh,IR5,245
Bangladesh,SB1,1
Barbados,E31,1
Barbados,F11,2
Barbados,F12,2
Barbados,F21,1
Barbados,F41,1
Barbados,IR1,3
Barbados,IR4,1
Belarus,CR1,3
Belarus,DV1,18
Belarus,DV2,7
Belarus,DV3,7
Belarus,E31,1
Belarus,E34,1
Belarus,E35,1
Belarus,F11,2
Belarus,F21,1
Belarus,F22,3
Belarus,F23,1
Belarus,F31,1
Belarus,F32,1
Belarus,F33,3
Belarus,IR5,13
Belarus,SB1,1
Belgium,CR1,3
Belgium,DV1,1
Belgium,E11,1
Belgium,E15,1
Belgium,E31,1
Belgium,F33,3
Belgium,I51,1
Belgium,IR1,2
Belgium,IR2,1
Belgium,SI3,2
Belize,CR1,2
Belize,CR2,3
Belize,F11,1
Belize,F12,2
Belize,F31,1
Belize,F32,1
Belize,FX1,1
Belize,FX2,3
Belize,IR1,2
Belize,IR2,9
Belize,IR5,1
Benin,CR1,1
Benin,DV1,4
Benin,DV2,1
Benin,DV3,1
Benin,FX1,1
Benin,FX3,1
Benin,IR1,1
Benin,IR2,2
Benin,IR5,6
Bermuda,IR5,1
Bhutan,F22,1
Bhutan,FX1,1
Bhutan,IR5,1
Bolivia,CR1,5
Bolivia,CR2,2
Bolivia,E35,1
Bolivia,F11,9
Bolivia,F12,8
Bolivia,F21,1
